drug_name,side_effect,severity
warfarin,major bleeding,serious
warfarin,intracranial hemorrhage,serious
warfarin,gastrointestinal bleeding,serious
ibuprofen,gastrointestinal bleeding,serious
ibuprofen,acute kidney injury,serious
ibuprofen,peptic ulcer perforation,serious
diclofenac,gastrointestinal bleeding,serious
diclofenac,acute kidney injury,serious
diclofenac,hepatic injury,serious
aspirin,major bleeding,serious
aspirin,gastrointestinal bleeding,serious
clopidogrel,major bleeding,serious
clopidogrel,thrombocytopenia,serious
metformin,lactic acidosis,serious
metformin,severe hypoglycemia (rare),serious
atorvastatin,rhabdomyolysis,serious
atorvastatin,hepatotoxicity,serious
paracetamol,acute liver failure,serious
paracetamol,severe allergic reaction,serious
amoxicillin,anaphylaxis,serious
amoxicillin,severe skin reaction (stevens-johnson syndrome),serious
azithromycin,prolonged qt interval,serious
azithromycin,cardiac arrhythmia,serious
lisinopril,angioedema,serious
lisinopril,hyperkalemia,serious
losartan,hyperkalemia,serious
losartan,renal impairment,serious
furosemide,severe dehydration,serious
furosemide,electrolyte imbalance,serious
gabapentin,respiratory depression,serious
sertraline,serotonin syndrome,serious
sertraline,suicidal ideation,serious
omeprazole,clostridium difficile infection,serious
levothyroxine,cardiac arrhythmia,serious
albuterol,severe tachycardia,serious
paracetamol,skin rash,moderate
paracetamol,nausea and vomiting,moderate
ibuprofen,gastric irritation,moderate
ibuprofen,fluid retention,moderate
diclofenac,gastric irritation,moderate
diclofenac,elevated liver enzymes,moderate
aspirin,indigestion,moderate
aspirin,bruising tendency,moderate
metformin,vitamin b12 deficiency,moderate
metformin,diarrhea,moderate
atorvastatin,muscle pain,moderate
atorvastatin,elevated liver enzymes,moderate
amlodipine,peripheral edema,moderate
amlodipine,flushing sensation,moderate
lisinopril,dizziness,moderate
lisinopril,hypotension,moderate
losartan,dizziness,moderate
losartan,low blood pressure,moderate
furosemide,dehydration,moderate
furosemide,low potassium levels,moderate
gabapentin,loss of coordination,moderate
gabapentin,somnolence,moderate
sertraline,sexual dysfunction,moderate
sertraline,restlessness,moderate
omeprazole,low magnesium levels,moderate
omeprazole,vitamin b12 deficiency,moderate
levothyroxine,weight loss,moderate
levothyroxine,anxiety,moderate
albuterol,palpitations,moderate
albuterol,increased blood pressure,moderate
amoxicillin,moderate allergic reaction,moderate
azithromycin,abdominal pain,moderate
clopidogrel,moderate bleeding,moderate
paracetamol,headache,common
paracetamol,nausea,common
ibuprofen,nausea,common
ibuprofen,headache,common
diclofenac,nausea,common
diclofenac,headache,common
aspirin,nausea,common
aspirin,heartburn,common
metformin,nausea,common
metformin,abdominal discomfort,common
atorvastatin,headache,common
atorvastatin,diarrhea,common
amlodipine,headache,common
amlodipine,dizziness,common
sertraline,nausea,common
sertraline,insomnia,common
lisinopril,dry cough,common
lisinopril,headache,common
losartan,headache,common
losartan,fatigue,common
furosemide,frequent urination,common
furosemide,dizziness,common
gabapentin,dizziness,common
gabapentin,fatigue,common
omeprazole,headache,common
omeprazole,abdominal pain,common
levothyroxine,palpitations,common
levothyroxine,heat intolerance,common
albuterol,tremor,common
albuterol,nervousness,common
amoxicillin,diarrhea,common
amoxicillin,skin rash,common
azithromycin,nausea,common
