drug,alternative,condition,priority,avoid_if,reason
ibuprofen,paracetamol,pain,first_line,liver disease,safer for kidney function and blood pressure
diclofenac,paracetamol,pain,first_line,liver disease,safer for kidney function
naproxen,paracetamol,pain,first_line,liver disease,lower cardiovascular risk than nsaids
aspirin,clopidogrel,antiplatelet,first_line,bleeding,less gastrointestinal irritation
clopidogrel,aspirin,antiplatelet,second_line,bleeding,used when dual therapy not required
warfarin,apixaban,anticoagulation,first_line,kidney disease,lower bleeding risk and no inr monitoring
warfarin,rivaroxaban,anticoagulation,first_line,kidney disease,fixed dosing and fewer interactions
heparin,enoxaparin,anticoagulation,first_line,renal impairment,more predictable pharmacokinetics
metformin,glipizide,diabetes,second_line,kidney disease,lower risk of lactic acidosis
metformin,insulin,diabetes,reserve,kidney disease,safe in severe renal impairment
glipizide,metformin,diabetes,first_line,severe hypoglycemia risk,improves insulin sensitivity
lisinopril,amlodipine,hypertension,first_line,angioedema,different mechanism of action
losartan,amlodipine,hypertension,first_line,renal artery stenosis,safer for kidney function in some cases
amlodipine,losartan,hypertension,second_line,hyperkalemia,better blood pressure control combination
metoprolol,amlodipine,hypertension,first_line,asthma,avoids bronchospasm risk
furosemide,spironolactone,edema,second_line,kidney disease,potassium sparing effect
spironolactone,furosemide,edema,first_line,hyperkalemia,strong diuretic effect
hydrochlorothiazide,chlorthalidone,hypertension,first_line,gout,longer duration of action
atorvastatin,pravastatin,cholesterol,second_line,liver disease,lower risk of myopathy
simvastatin,rosuvastatin,cholesterol,second_line,liver disease,more potent ldl reduction
rosuvastatin,atorvastatin,cholesterol,first_line,liver disease,strong lipid lowering effect
amoxicillin,azithromycin,infection,first_line,penicillin allergy,safer for allergic patients
azithromycin,doxycycline,infection,second_line,pregnancy,broader atypical coverage
doxycycline,amoxicillin,infection,second_line,penicillin allergy,alternative for respiratory infections
omeprazole,famotidine,acid reflux,first_line,chronic kidney disease,safer for long term kidney health
pantoprazole,famotidine,acid reflux,first_line,kidney disease,lower interaction profile
esomeprazole,ranitidine,acid reflux,second_line,renal impairment,reduced acid suppression duration
albuterol,salmeterol,asthma,second_line,acute attack,long acting for maintenance
salmeterol,formoterol,asthma,first_line,acute attack,long acting bronchodilator
formoterol,budesonide,asthma,first_line,acute attack,combination therapy improves control
gabapentin,pregabalin,nerve pain,first_line,kidney disease,better potency and absorption
pregabalin,gabapentin,nerve pain,second_line,kidney disease,alternative dosing option
amitriptyline,gabapentin,nerve pain,second_line,cardiac disease,dual benefit for depression
sertraline,escitalopram,depression,first_line,qt prolongation,better tolerability
fluoxetine,sertraline,depression,second_line,drug interactions,longer half life stability
paroxetine,sertraline,depression,second_line,weight gain risk,lower metabolic effects
citalopram,escitalopram,depression,first_line,qt prolongation,fewer cardiac effects
escitalopram,sertraline,depression,first_line,gi intolerance,better tolerability
levothyroxine,liothyronine,hypothyroidism,second_line,cardiac disease,faster onset but more risk
clopidogrel,ticagrelor,antiplatelet,first_line,bleeding,more potent platelet inhibition
insulin,metformin,diabetes,first_line,lactic acidosis risk,better glucose control
insulin,glipizide,diabetes,second_line,hypoglycemia risk,alternative oral therapy
losartan,valsartan,hypertension,first_line,renal artery stenosis,similar arb with flexibility
metoprolol,bisoprolol,hypertension,first_line,asthma,more selective beta blocker
bisoprolol,nebivolol,hypertension,second_line,bradycardia,better heart rate control
nebivolol,amlodipine,hypertension,second_line,heart failure,vasodilation benefits
spironolactone,eplerenone,edema,first_line,gynecomastia,less hormonal side effects
pravastatin,rosuvastatin,cholesterol,first_line,liver disease,less hepatic metabolism
amoxicillin,cephalexin,infection,second_line,penicillin allergy,cross-reactivity low
cephalexin,azithromycin,infection,second_line,penicillin allergy,alternative coverage
doxycycline,azithromycin,infection,first_line,pregnancy,better atypical coverage
clarithromycin,azithromycin,infection,second_line,qt prolongation,less cardiac risk
pantoprazole,omeprazole,acid reflux,first_line,drug interaction risk,lower cyp interaction
rabeprazole,omeprazole,acid reflux,second_line,kidney disease,better tolerance
